# x y z    vx vy vz    mass
2.300 0.600 0.800 0.0 0.0 0.0 1.0
2.300 0.600 0.900 0.0 0.0 0.0 1.0
2.300 0.700 0.500 0.0 0.0 0.0 1.0
2.300 0.700 0.600 0.0 0.0 0.0 1.0
2.300 0.700 0.700 0.0 0.0 0.0 1.0
2.300 0.700 0.800 0.0 0.0 0.0 1.0
2.300 0.700 0.900 0.0 0.0 0.0 1.0
2.300 0.800 0.500 0.0 0.0 0.0 1.0
2.300 0.800 0.600 0.0 0.0 0.0 1.0
2.300 0.800 0.700 0.0 0.0 0.0 1.0
2.300 0.800 0.800 0.0 0.0 0.0 1.0
2.300 0.800 0.900 0.0 0.0 0.0 1.0
2.300 0.900 0.500 0.0 0.0 0.0 1.0
2.300 0.900 0.600 0.0 0.0 0.0 1.0
2.300 0.900 0.700 0.0 0.0 0.0 1.0
2.300 0.900 0.800 0.0 0.0 0.0 1.0
2.300 0.900 0.900 0.0 0.0 0.0 1.0
