# x y z    vx vy vz    mass
-0.912 -0.410 0.020 0.0 0.0 0.0 1.0
0.395 0.919 0.010 0.0 0.0 0.0 1.0
0.329 -0.944 0.000 0.0 0.0 0.0 1.0
-0.881 0.474 -0.010 0.0 0.0 0.0 1.0
0.969 0.245 -0.020 0.0 0.0 0.0 1.0
-0.549 -0.835 -0.030 0.0 0.0 0.0 1.0
-0.160 0.986 -0.040 0.0 0.0 0.0 1.0
0.784 -0.619 -0.050 0.0 0.0 0.0 1.0
-0.996 -0.073 -0.060 0.0 0.0 0.0 1.0
0.685 0.726 -0.070 0.0 0.0 0.0 1.0
-0.015 -0.997 -0.080 0.0 0.0 0.0 1.0
-0.662 0.744 -0.090 0.0 0.0 0.0 1.0
0.990 -0.101 -0.100 0.0 0.0 0.0 1.0
-0.798 -0.593 -0.110 0.0 0.0 0.0 1.0
0.187 0.975 -0.120 0.0 0.0 0.0 1.0
0.520 -0.844 -0.130 0.0 0.0 0.0 1.0
-0.952 0.271 -0.140 0.0 0.0 0.0 1.0
0.884 0.443 -0.150 0.0 0.0 0.0 1.0
-0.352 -0.922 -0.160 0.0 0.0 0.0 1.0
-0.363 0.916 -0.170 0.0 0.0 0.0 1.0
0.885 -0.430 -0.180 0.0 0.0 0.0 1.0
-0.941 -0.280 -0.190 0.0 0.0 0.0 1.0
0.504 0.840 -0.200 0.0 0.0 0.0 1.0
0.196 -0.958 -0.210 0.0 0.0 0.0 1.0
-0.790 0.573 -0.220 0.0 0.0 0.0 1.0
0.967 0.111 -0.230 0.0 0.0 0.0 1.0
-0.636 -0.733 -0.240 0.0 0.0 0.0 1.0
-0.026 0.968 -0.250 0.0 0.0 0.0 1.0
0.671 -0.694 -0.260 0.0 0.0 0.0 1.0
-0.961 0.059 -0.270 0.0 0.0 0.0 1.0
0.746 0.604 -0.280 0.0 0.0 0.0 1.0
-0.141 -0.947 -0.290 0.0 0.0 0.0 1.0
-0.533 0.791 -0.300 0.0 0.0 0.0 1.0
0.924 -0.222 -0.310 0.0 0.0 0.0 1.0
-0.829 -0.459 -0.320 0.0 0.0 0.0 1.0
0.300 0.895 -0.330 0.0 0.0 0.0 1.0
0.382 -0.859 -0.340 0.0 0.0 0.0 1.0
-0.859 0.374 -0.350 0.0 0.0 0.0 1.0
0.882 0.303 -0.360 0.0 0.0 0.0 1.0
-0.444 -0.816 -0.370 0.0 0.0 0.0 1.0
-0.223 0.898 -0.380 0.0 0.0 0.0 1.0
0.767 -0.509 -0.390 0.0 0.0 0.0 1.0
-0.905 -0.142 -0.400 0.0 0.0 0.0 1.0
0.569 0.713 -0.410 0.0 0.0 0.0 1.0
0.062 -0.905 -0.420 0.0 0.0 0.0 1.0
-0.654 0.623 -0.430 0.0 0.0 0.0 1.0
0.898 -0.018 -0.440 0.0 0.0 0.0 1.0
-0.670 -0.590 -0.450 0.0 0.0 0.0 1.0
0.095 0.883 -0.460 0.0 0.0 0.0 1.0
0.523 -0.711 -0.470 0.0 0.0 0.0 1.0
-0.861 0.170 -0.480 0.0 0.0 0.0 1.0
0.745 0.453 -0.490 0.0 0.0 0.0 1.0
-0.241 -0.832 -0.500 0.0 0.0 0.0 1.0
-0.381 0.771 -0.510 0.0 0.0 0.0 1.0
0.796 -0.309 -0.520 0.0 0.0 0.0 1.0
-0.790 -0.308 -0.530 0.0 0.0 0.0 1.0
0.372 0.755 -0.540 0.0 0.0 0.0 1.0
0.234 -0.802 -0.550 0.0 0.0 0.0 1.0
-0.709 0.429 -0.560 0.0 0.0 0.0 1.0
0.806 0.161 -0.570 0.0 0.0 0.0 1.0
-0.481 -0.657 -0.580 0.0 0.0 0.0 1.0
-0.088 0.803 -0.590 0.0 0.0 0.0 1.0
0.602 -0.527 -0.600 0.0 0.0 0.0 1.0
-0.792 -0.017 -0.610 0.0 0.0 0.0 1.0
0.567 0.542 -0.620 0.0 0.0 0.0 1.0
-0.051 -0.775 -0.630 0.0 0.0 0.0 1.0
-0.481 0.599 -0.640 0.0 0.0 0.0 1.0
0.751 -0.116 -0.650 0.0 0.0 0.0 1.0
-0.625 -0.417 -0.660 0.0 0.0 0.0 1.0
0.177 0.721 -0.670 0.0 0.0 0.0 1.0
0.352 -0.643 -0.680 0.0 0.0 0.0 1.0
-0.685 0.233 -0.690 0.0 0.0 0.0 1.0
0.654 0.287 -0.700 0.0 0.0 0.0 1.0
-0.284 -0.644 -0.710 0.0 0.0 0.0 1.0
-0.222 0.657 -0.720 0.0 0.0 0.0 1.0
0.599 -0.330 -0.730 0.0 0.0 0.0 1.0
-0.654 -0.159 -0.740 0.0 0.0 0.0 1.0
0.369 0.549 -0.750 0.0 0.0 0.0 1.0
0.098 -0.643 -0.760 0.0 0.0 0.0 1.0
-0.497 0.400 -0.770 0.0 0.0 0.0 1.0
0.625 0.039 -0.780 0.0 0.0 0.0 1.0
-0.425 -0.442 -0.790 0.0 0.0 0.0 1.0
0.015 0.600 -0.800 0.0 0.0 0.0 1.0
0.385 -0.442 -0.810 0.0 0.0 0.0 1.0
-0.569 0.064 -0.820 0.0 0.0 0.0 1.0
0.451 0.328 -0.830 0.0 0.0 0.0 1.0
-0.108 -0.532 -0.840 0.0 0.0 0.0 1.0
-0.272 0.451 -0.850 0.0 0.0 0.0 1.0
0.489 -0.144 -0.860 0.0 0.0 0.0 1.0
-0.443 -0.217 -0.870 0.0 0.0 0.0 1.0
0.174 0.442 -0.880 0.0 0.0 0.0 1.0
0.164 -0.426 -0.890 0.0 0.0 0.0 1.0
-0.390 0.194 -0.900 0.0 0.0 0.0 1.0
0.399 0.114 -0.910 0.0 0.0 0.0 1.0
-0.205 -0.334 -0.920 0.0 0.0 0.0 1.0
-0.070 0.361 -0.930 0.0 0.0 0.0 1.0
0.274 -0.203 -0.940 0.0 0.0 0.0 1.0
-0.311 -0.033 -0.950 0.0 0.0 0.0 1.0
0.186 0.210 -0.960 0.0 0.0 0.0 1.0
0.004 -0.243 -0.970 0.0 0.0 0.0 1.0
-0.137 0.144 -0.980 0.0 0.0 0.0 1.0
0.141 -0.010 -0.990 0.0 0.0 0.0 1.0
